Gene.symbol,P.Value
ZNF264,1.9600000000000002e-33
NFKB1,1.66e-30
SVOP,4.68e-30
ZDHHC23,4.5e-28
ATP6V1H,2.54e-27
DSTYK,2.9400000000000004e-27
SRGAP1,9.16e-27
HSPB2,1.32e-26
POLDIP3,1.8600000000000002e-26
C21orf62,3.24e-26
FAM63A,1.65e-25
SHROOM1,4e-25
LANCL2,8.05e-25
SGIP1,8.75e-25
ZHX3,2.35e-24
C14orf2,2.59e-24
TCF3,6.63e-24
SLC35E1,2.7e-23
KAT6A,4.0699999999999996e-23
SCN11A,6.949999999999999e-23
SGK3,7.46e-23
MAPKAPK2,7.469999999999999e-23
PBOV1,1.24e-22
SPOP,1.34e-22
RELA,1.45e-22
ZNF665,1.85e-22
TNFSF15,2.04e-22
AP3S1,2.46e-22
NRCAM,4.1500000000000003e-22
FXN,5.07e-22
WDR82,7.12e-22
PCYOX1L,8.52e-22
ARAP1,9.65e-22
VEZF1,9.95e-22
CHMP4B,1.16e-21
MCM7,1.3400000000000002e-21
TRIP10,1.6700000000000002e-21
GPR155,1.8100000000000002e-21
RFX1,1.92e-21
CLN8,2.08e-21
ME3,2.39e-21
TMEM130,2.4400000000000002e-21
THEM4,2.4700000000000002e-21
MRPL24,2.6300000000000002e-21
MAGEB10,2.7e-21
CBR4,3.04e-21
ATPIF1,3.45e-21
TTC17,4.0000000000000004e-21
ZNF454,4.89e-21
MXI1,5.050000000000001e-21
ANKHD1-EIF4EBP3,5.3200000000000004e-21
CHST12,5.5100000000000004e-21
LETMD1,5.66e-21
GPRASP2,6.910000000000001e-21
BEX4,6.960000000000001e-21
RBBP5,7.11e-21
UBE2V1,8.75e-21
COA1,9.070000000000001e-21
KANK2,9.4e-21
ARHGEF9,9.960000000000001e-21
CTDSP2,9.97e-21
TEP1,1.07e-20
POMT2,1.14e-20
ZNF430,1.19e-20
FKBP1B,1.29e-20
C5orf24,1.43e-20
BRE,1.54e-20
TUBB2A,1.54e-20
CASC3,1.59e-20
ORAI2,1.68e-20
SLC4A2,1.8e-20
RAB29,2.1e-20
NAP1L5,2.21e-20
MRPL15,2.59e-20
BEX5,3e-20
UBE2N,3.22e-20
FAM43A,4.2e-20
FAM101B,4.35e-20
RTN3,5.55e-20
PHF21A,6.05e-20
CLDN15,6.42e-20
OLAH,6.65e-20
NUBP1,6.72e-20
MSH3,7.16e-20
GCC1,7.5e-20
TARBP1,8.43e-20
